cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00017_US_15_20_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",100,0,100,0.26,-0.07198197894967132,0.7453105911512148,-7.198197894967131,0.0,0.0,-0.07198197894967132,0.7453105911512148,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00018_US_15_20_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",100,0,100,0.26,-0.07198197894967132,0.7453105911512148,-7.198197894967131,0.0,0.0,-0.07198197894967132,0.7453105911512148,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00019_US_15_21_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_21,"15,16,17,18,19,20,21",119,0,119,0.24369747899159663,-0.08738897352638891,0.7172581731968057,-10.399287849640281,0.0,0.0,-0.08738897352638891,0.7172581731968057,-1.0,0.0,0.8882340525705035,0.3277310924369748,0.6386554621848739,0.03361344537815126,0.0
C00020_US_15_21_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_21,"15,16,17,18,19,20,21",119,0,119,0.24369747899159663,-0.08738897352638891,0.7172581731968057,-10.399287849640281,0.0,0.0,-0.08738897352638891,0.7172581731968057,-1.0,0.0,0.8882340525705035,0.3277310924369748,0.6386554621848739,0.03361344537815126,0.0
C00009_US_13_18_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_18,"13,14,15,16,17,18",134,0,134,0.2537313432835821,-0.10282592743405178,0.684870574912813,-13.778674276162938,0.0,0.0,-0.10282592743405178,0.684870574912813,-1.0,0.0,0.8358077180921831,0.34328358208955223,0.6194029850746269,0.03731343283582089,0.0
C00010_US_13_18_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_18,"13,14,15,16,17,18",134,0,134,0.2537313432835821,-0.10282592743405178,0.684870574912813,-13.778674276162938,0.0,0.0,-0.10282592743405178,0.684870574912813,-1.0,0.0,0.8358077180921831,0.34328358208955223,0.6194029850746269,0.03731343283582089,0.0
C00011_US_13_19_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_19,"13,14,15,16,17,18,19",150,0,150,0.25333333333333335,-0.10532615924276198,0.6769643402347735,-15.798923886414297,0.0,0.0,-0.10532615924276198,0.6769643402347735,-1.0,0.0,0.8501432424735847,0.3466666666666667,0.6133333333333333,0.04,0.0
C00012_US_13_19_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_19,"13,14,15,16,17,18,19",150,0,150,0.25333333333333335,-0.10532615924276198,0.6769643402347735,-15.798923886414297,0.0,0.0,-0.10532615924276198,0.6769643402347735,-1.0,0.0,0.8501432424735847,0.3466666666666667,0.6133333333333333,0.04,0.0
C00003_US_13_20_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_20,"13,14,15,16,17,18,19,20",163,0,163,0.2392638036809816,-0.11851430238541542,0.6354577443830557,-19.317831288822713,0.0,0.0,-0.11851430238541542,0.6354577443830557,-1.0,0.0,0.8065138650001118,0.3496932515337423,0.6073619631901841,0.04294478527607362,0.0
C00004_US_13_20_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_13_20,"13,14,15,16,17,18,19,20",163,0,163,0.2392638036809816,-0.11851430238541542,0.6354577443830557,-19.317831288822713,0.0,0.0,-0.11851430238541542,0.6354577443830557,-1.0,0.0,0.8065138650001118,0.3496932515337423,0.6073619631901841,0.04294478527607362,0.0
C00013_US_14_19_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_14_19,"14,15,16,17,18,19",111,0,111,0.25225225225225223,-0.12148762311371122,0.6272593307358464,-13.485126165621946,0.0,0.0,-0.12148762311371122,0.6272593307358464,-1.0,0.0,0.8461180846130111,0.36036036036036034,0.5945945945945946,0.04504504504504504,0.0
C00014_US_14_19_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_14_19,"14,15,16,17,18,19",111,0,111,0.25225225225225223,-0.12148762311371122,0.6272593307358464,-13.485126165621946,0.0,0.0,-0.12148762311371122,0.6272593307358464,-1.0,0.0,0.8461180846130111,0.36036036036036034,0.5945945945945946,0.04504504504504504,0.0
C00015_US_14_20_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_14_20,"14,15,16,17,18,19,20",124,0,124,0.23387096774193547,-0.13712930296798678,0.5776722815379417,-17.004033568030362,0.0,0.0,-0.13712930296798678,0.5776722815379417,-1.0,0.0,0.6848019151085684,0.3629032258064516,0.5887096774193549,0.04838709677419355,0.0
C00016_US_14_20_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_14_20,"14,15,16,17,18,19,20",124,0,124,0.23387096774193547,-0.13712930296798678,0.5776722815379417,-17.004033568030362,0.0,0.0,-0.13712930296798678,0.5776722815379417,-1.0,0.0,0.6848019151085684,0.3629032258064516,0.5887096774193549,0.04838709677419355,0.0
C00007_US_12_18_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_12_18,"12,13,14,15,16,17,18",168,0,168,0.2261904761904762,-0.1485881901940793,0.5535400548893027,-24.96281595260532,0.0,0.0,-0.1485881901940793,0.5535400548893027,-1.0,0.0,0.7743992706009801,0.34523809523809523,0.6190476190476191,0.03571428571428571,0.0
C00008_US_12_18_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_12_18,"12,13,14,15,16,17,18",168,0,168,0.2261904761904762,-0.1485881901940793,0.5535400548893027,-24.96281595260532,0.0,0.0,-0.1485881901940793,0.5535400548893027,-1.0,0.0,0.7743992706009801,0.34523809523809523,0.6190476190476191,0.03571428571428571,0.0
C00005_US_12_17_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_12_17,"12,13,14,15,16,17",146,0,146,0.21232876712328766,-0.1790350309203047,0.49315726285801736,-26.139114514364486,0.0,0.0,-0.1790350309203047,0.49315726285801736,-1.0,0.0,0.7751339177614913,0.363013698630137,0.6027397260273972,0.03424657534246575,0.0
C00006_US_12_17_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_12_17,"12,13,14,15,16,17",146,0,146,0.21232876712328766,-0.1790350309203047,0.49315726285801736,-26.139114514364486,0.0,0.0,-0.1790350309203047,0.49315726285801736,-1.0,0.0,0.7751339177614913,0.363013698630137,0.6027397260273972,0.03424657534246575,0.0
C00001_ALL_DAY_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,ALL_DAY,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",678,0,678,0.18584070796460178,-0.20317992423004566,0.47933340233242927,-137.75598862797096,0.0,0.0,-0.20317992423004566,0.47933340233242927,-1.0,0.0,0.8206804790384514,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C00002_ALL_DAY_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,ALL_DAY,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",678,0,678,0.18584070796460178,-0.20317992423004566,0.47933340233242927,-137.75598862797096,0.0,0.0,-0.20317992423004566,0.47933340233242927,-1.0,0.0,0.8206804790384514,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
