sig_i,entry_i,exit_i,sig_t,entry_t,exit_t,hour_utc,date_utc,dir_state,dir_score,range_pctl,rp_bucket,entry,sl,tp,exit,reason,risk,pnl,R,MAE_R,MFE_R
221,222,230,2026-01-05 07:30:00+00:00,2026-01-05 07:45:00+00:00,2026-01-05 09:45:00+00:00,7,2026-01-05,BEAR,-0.4619572800949796,0.0798611111111111,"[0.06,0.08)",92511.3,92757.03214285715,91896.96964285715,92757.03214285715,SL,245.73214285714494,-245.73214285714494,-1.0,1.2888016859239653,0.8924351427948594
223,224,231,2026-01-05 08:00:00+00:00,2026-01-05 08:15:00+00:00,2026-01-05 10:00:00+00:00,8,2026-01-05,BEAR,-0.40651721799313373,0.006944444444444444,"[0.00,0.02)",92612.6,92838.99285714286,92046.61785714288,92838.99285714286,SL,226.39285714285506,-226.39285714285506,-1.0,1.3799021927748727,1.4161224167850206
295,296,311,2026-01-06 02:00:00+00:00,2026-01-06 02:15:00+00:00,2026-01-06 06:00:00+00:00,2,2026-01-06,BEAR,-0.3513865819503185,0.041666666666666664,"[0.04,0.06)",93708.5,94027.81785714286,92910.20535714286,93713.5,TIME,319.317857142858,-5.0,-0.015658378910400478,0.8076591841984384,0.7559865337941168
296,297,312,2026-01-06 02:15:00+00:00,2026-01-06 02:30:00+00:00,2026-01-06 06:15:00+00:00,2,2026-01-06,BEAR,-0.4440301043414296,0.06944444444444445,"[0.06,0.08)",93650.0,93970.28214285715,92849.29464285713,93717.6,TIME,320.28214285714785,-67.60000000000582,-0.21106390570815167,0.9878789906220742,0.5710589993197691
303,304,317,2026-01-06 04:00:00+00:00,2026-01-06 04:15:00+00:00,2026-01-06 07:30:00+00:00,4,2026-01-06,BEAR,-0.40233278894717167,0.04513888888888889,"[0.04,0.06)",93915.8,94193.72857142857,93220.9785714286,93220.9785714286,TP,277.9285714285652,694.8214285714057,2.499999999999974,0.182061166795141,2.717604728861547
320,321,327,2026-01-06 08:15:00+00:00,2026-01-06 08:30:00+00:00,2026-01-06 10:00:00+00:00,8,2026-01-06,BEAR,-0.7592004730747013,0.08680555555555555,"[0.08,0.10)",93292.9,93572.89642857142,92592.90892857144,93572.89642857142,SL,279.99642857142317,-279.99642857142317,-1.0,1.1489432263167259,0.5803645454661523
325,326,331,2026-01-06 09:30:00+00:00,2026-01-06 09:45:00+00:00,2026-01-06 11:00:00+00:00,9,2026-01-06,BEAR,-0.7519887812201448,0.03125,"[0.02,0.04)",93416.5,93708.41071428571,92686.72321428572,93708.41071428571,SL,291.9107142857101,-291.9107142857101,-1.0,1.195913623294831,0.1949226157704606
329,330,334,2026-01-06 10:30:00+00:00,2026-01-06 10:45:00+00:00,2026-01-06 11:45:00+00:00,10,2026-01-06,BEAR,-0.4349742295614366,0.07291666666666667,"[0.06,0.08)",93547.6,93810.7642857143,92889.6892857143,93810.7642857143,SL,263.16428571428696,-263.16428571428696,-1.0,1.2079906630838686,0.32451211899142757
330,331,334,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 11:45:00+00:00,10,2026-01-06,BEAR,-0.4534716135373892,0.013888888888888888,"[0.00,0.02)",93536.4,93801.27857142857,92874.20357142854,93801.27857142857,SL,264.87857142857683,-264.87857142857683,-1.0,1.242456111965048,0.022274357522292378
396,397,412,2026-01-07 03:15:00+00:00,2026-01-07 03:30:00+00:00,2026-01-07 07:15:00+00:00,3,2026-01-07,BEAR,-0.44065237325239887,0.05555555555555555,"[0.04,0.06)",92965.5,93384.11785714286,91918.95535714284,92775.2,TIME,418.6178571428609,190.3000000000029,0.4545912142851078,0.05589823654371368,1.2125617465639507
401,402,417,2026-01-07 04:30:00+00:00,2026-01-07 04:45:00+00:00,2026-01-07 08:30:00+00:00,4,2026-01-07,BEAR,-0.6128209958582369,0.034722222222222224,"[0.02,0.04)",92736.0,93047.7642857143,91956.58928571426,92735.6,TIME,311.7642857142928,0.39999999999417923,0.0012830205970440999,0.6158498865901297,0.8920200701079096
403,404,419,2026-01-07 05:00:00+00:00,2026-01-07 05:15:00+00:00,2026-01-07 09:00:00+00:00,5,2026-01-07,BEAR,-0.44582281662775086,0.03125,"[0.02,0.04)",92710.2,93008.20714285714,91965.18214285714,92237.3,TIME,298.0071428571391,472.8999999999942,1.5868747153711564,0.7308549651254953,1.6523093885573226
435,436,436,2026-01-07 13:00:00+00:00,2026-01-07 13:15:00+00:00,2026-01-07 13:15:00+00:00,13,2026-01-07,BEAR,-0.8688326890016034,0.0798611111111111,"[0.06,0.08)",91855.1,92137.34642857144,91149.48392857141,92137.34642857144,SL,282.2464285714377,-282.2464285714377,-1.0,1.3966518619746626,0.07688316946947403
469,470,476,2026-01-07 21:30:00+00:00,2026-01-07 21:45:00+00:00,2026-01-07 23:15:00+00:00,21,2026-01-07,BEAR,-0.51825474936632,0.003472222222222222,"[0.00,0.02)",91083.2,91458.86428571428,90144.03928571427,91458.86428571428,SL,375.66428571428696,-375.66428571428696,-1.0,1.0086133135588584,0.6415302416671399
473,474,476,2026-01-07 22:30:00+00:00,2026-01-07 22:45:00+00:00,2026-01-07 23:15:00+00:00,22,2026-01-07,BEAR,-0.4542845058812598,0.0798611111111111,"[0.06,0.08)",91015.2,91344.58928571428,90191.7267857143,91344.58928571428,SL,329.38928571427823,-329.38928571427823,-1.0,1.356753298853997,0.25410662589857547
503,504,507,2026-01-08 06:00:00+00:00,2026-01-08 06:15:00+00:00,2026-01-08 07:00:00+00:00,6,2026-01-08,BEAR,-0.6223218115772918,0.03819444444444445,"[0.02,0.04)",90491.8,90841.8892857143,89616.57678571428,89616.57678571428,TP,350.0892857142899,875.2232142857247,2.5,0.00028564141798066765,2.581341494516666
514,515,530,2026-01-08 08:45:00+00:00,2026-01-08 09:00:00+00:00,2026-01-08 12:45:00+00:00,8,2026-01-08,BEAR,-0.6132124984006172,0.0625,"[0.06,0.08)",90200.0,90639.82142857142,89100.44642857145,89953.8,TIME,439.82142857142026,246.1999999999971,0.5597726349979739,0.6047909053999302,1.0604303694681352
527,528,539,2026-01-08 12:00:00+00:00,2026-01-08 12:15:00+00:00,2026-01-08 15:00:00+00:00,12,2026-01-08,BEAR,-0.36755933387234574,0.0763888888888889,"[0.06,0.08)",89852.7,90252.3857142857,88853.48571428574,90252.3857142857,SL,399.6857142857043,-399.6857142857043,-1.0,1.440882121667082,1.527950532561329
531,532,539,2026-01-08 13:00:00+00:00,2026-01-08 13:15:00+00:00,2026-01-08 15:00:00+00:00,13,2026-01-08,BEAR,-0.5481507790963622,0.04861111111111111,"[0.04,0.06)",89942.4,90315.22499999999,89010.3375,90315.22499999999,SL,372.8249999999971,-372.8249999999971,-1.0,1.304097096493034,1.8786293837591355
532,533,539,2026-01-08 13:15:00+00:00,2026-01-08 13:30:00+00:00,2026-01-08 15:00:00+00:00,13,2026-01-08,BEAR,-0.5445039488516098,0.06944444444444445,"[0.06,0.08)",90038.1,90401.45357142857,89129.71607142859,90401.45357142857,SL,363.3535714285681,-363.3535714285681,-1.0,1.0747107795437443,2.190978877323383
533,534,539,2026-01-08 13:30:00+00:00,2026-01-08 13:45:00+00:00,2026-01-08 15:00:00+00:00,13,2026-01-08,BEAR,-0.4343024307264259,0.0798611111111111,"[0.06,0.08)",89990.6,90334.75357142858,89130.21607142859,90334.75357142858,SL,344.153571428571,-344.153571428571,-1.0,1.2726876498241042,2.175191722964228
618,619,629,2026-01-09 10:45:00+00:00,2026-01-09 11:00:00+00:00,2026-01-09 13:30:00+00:00,10,2026-01-09,BEAR,-0.8530604357497426,0.03125,"[0.02,0.04)",90443.5,90831.05714285714,89474.60714285714,90831.05714285714,SL,387.557142857142,-387.557142857142,-1.0,1.4359172840871424,0.7147333112167806
622,623,629,2026-01-09 11:45:00+00:00,2026-01-09 12:00:00+00:00,2026-01-09 13:30:00+00:00,11,2026-01-09,BEAR,-0.7164177508125117,0.04861111111111111,"[0.04,0.06)",90398.1,90730.55357142858,89566.96607142857,90730.55357142858,SL,332.4535714285739,-332.4535714285739,-1.0,1.8104783696971338,0.696638628379915
